Front,Back
"When did Merchant Island fall to the Runics?","2017"
"When was Merchant Island liberated from the Runics?","2022"
"Why did Merchant Island isolate itself again in 2028?","To protect itself after Professor Blunder's mutated parasite spread through the Americas."
"What was the Pan-Atlantic Union (PAU)?","A militarized alliance of North American and European countries."
"Could outsiders freely enter the PAU?","No. Entry required biometric screening, background checks, and weeks of quarantine."
"What happened to the American side of the PAU in 2028?","Europe abandoned it, and the Western PAU fell to the mutated parasite."
"What happened to the PAU after the American side fell?","Its remaining members are the UK, Australia, and several Northern European states."
"What is the technology level inside the ICC?","Around 2000s technology, without smart devices or personal computers."
"What is UnityNet?","A major European technology company that helped establish social media and the internet."
"What is the technology level outside North America?","Modern-day technology."
"What is the technology level for the average person in North America?","1990s technology."
"Who has access to advanced technology within the ICC?","City-state governments."
"What is the “Outside World”?","All territory outside the fractured Americas, beyond the Darién Gap."
"How badly did the infection affect the Outside World?","It never spread widely; most countries have minimal direct contact with the Infected."
"What happened to travel between the Outside World and the Americas in 2028?","A blockade and airspace restrictions banned travel in or out of the Americas."
"What happens if someone tries to break the Americas blockade?","They can be executed."
"What happens if you’re bitten by an infected human?","You will die unless the limb is amputated or C-Cure succeeds."
"What is SiB-6?","A parasitic infection that turns dead humans into zombies."
"How can ordinary people test for SiB-6?","Checking for bites, illness, and fever"
"What happens when a zombie detects a child?","It targets the child, attracting more Infected and potentially forming a horde."
"How should children be protected from Infected?","Keep them far away and place as many barriers as possible between them."
"What is the C-Cure?","A cure for bites from humans infected with SiB-6."
"What does producing C-Cure require?","Crow Root extract and a freshly removed child’s thymus."
"What are Harvested Children?","Children whose thymuses were removed for C-Cure production."
"How can a Harvested Child be identified?","An eight-inch chest scar, crow tattoo, weakened health, and reduced undead attraction."
"How long does adult SiB-6 infection normally take to cause reanimation?","Seven days. The corpse reanimates within an hour."
"How long does SiB-6 take to kill an infected child?","Three days. Children do not reanimate."
"Where is Crow Root found?","Only in the Deadlands and on Merchant Island."
"What is the C-Cure's formal name?","Travers-Clarke Bio-Surgical Method (T-CBSM)."
"What happened to the PAU's safer C-Cure alternative?","The project ended after the West PAU fell in 2028."
"How are Harvested Children viewed in some American settlements?","As cursed or unlucky. Many live on society’s fringes."
"Does the C-Cure work against the Merchant Island animal strain?","No. All attempts to adapt it have failed."
"When is amputation of an infected limb too late?","Day 3"
"What happens if someone dies naturally with no bite or nearby Infected?","They remain dead"
"What are the Splinters?","Parts of North America outside the ICC, with no central government."
"Where are the Splinters located?","Across former PAU, IWA, and Steel Syndicate territories, plus surrounding regions."
"What technology is common in the Splinters?","Pre-1998 technology, usually scavenged, repaired, or improvised."
"What was the Steel Syndicate?","A regional power founded in Detroit by auto workers, truckers, and machinists."
"What were the Zone Security Forces, or “Zees”?","A rotating citizen militia responsible for regional security."
"Why did the Steel Syndicate collapse?","New zombie strains created by Professor Blunder broke through its defenses, forcing evacuation."
"When was Chicago nuked?","2019"
"When did the Steel Syndicate fall?","By the end of 2026."
"When was the Steel Syndicate formed?","1999"
"Which cities joined the Steel Syndicate?","Detroit, Milwaukee, Green Bay, Cleveland, and Chicago"
"Which type of animal never became infected by Blunder’s animal-infecting strain?","Birds"
"What year does Chapter 3 take place?","2042"
"Who is organizing the return to Shelter?","Kaiman Curtis, leader of the Sentinels."
"What happened to Louisville on January 1, 1995?","The U.S. military destroyed Louisville with a nuclear strike and sealed Knox County"
